limite,acuracia,precisao,recall,f1_score,verdadeiros_negativos,falsos_positivos,falsos_negativos,verdadeiros_positivos
0.1,0.24595361254797263,0.2263924592973436,0.9962292609351433,0.3689428850719173,153,4514,5,1321
0.11,0.2539629567829134,0.2279882373291818,0.9939668174962293,0.37090192767693825,204,4463,8,1318
0.12,0.2619723010178542,0.22961410860834644,0.9917043740573153,0.37289096838224867,255,4412,11,1315
0.13,0.26998164525279494,0.2310813194566943,0.9879336349924586,0.3745532523230879,308,4359,16,1310
0.14,0.28399799766394124,0.23427137479835095,0.9856711915535445,0.3785662563359884,395,4272,19,1307
0.15,0.3000166861338228,0.23779930542862365,0.9811463046757164,0.3828159482124467,497,4170,25,1301
0.16,0.3180377106624395,0.24210722959088363,0.9773755656108597,0.38808204821081,610,4057,30,1296
0.17,0.3403971299849825,0.24774342231611293,0.9728506787330317,0.3949181080667381,750,3917,36,1290
0.18,0.36275654930752543,0.2534124629080119,0.9660633484162896,0.4015044663845792,893,3774,45,1281
0.19,0.3834473552477891,0.2593946780418444,0.9630467571644042,0.40870539286285806,1021,3646,49,1277
0.2,0.40563991323210413,0.26591289782244554,0.9577677224736049,0.4162569649295313,1161,3506,56,1270
0.21,0.42950108459869846,0.2725494457726581,0.9457013574660633,0.423148304369833,1320,3347,72,1254
0.22,0.455364592024028,0.2803717135086129,0.9328808446455505,0.43116068316486583,1492,3175,89,1237
0.23,0.4793926247288503,0.28844339622641507,0.9223227752639518,0.43945382680560546,1650,3017,103,1223
0.24,0.5040881027865843,0.297490157480315,0.9117647058823529,0.44860853432282005,1812,2855,117,1209
0.25,0.5239446020357084,0.30458152034809316,0.8974358974358975,0.4548060386011848,1950,2717,136,1190
0.26,0.5459702986817955,0.31285215991414006,0.8793363499245852,0.46150801504057,2106,2561,160,1166
0.27,0.561988987151677,0.31832167832167835,0.8582202111613876,0.46439502142419914,2230,2437,188,1138
0.28,0.5810111797096613,0.32660228270412645,0.8416289592760181,0.47058823529411764,2366,2301,210,1116
0.29,0.5998665109294177,0.33517835178351785,0.8220211161387632,0.47619047619047616,2505,2162,236,1090
0.3,0.6170532287668947,0.3430515063168124,0.7986425339366516,0.4799456152277362,2639,2028,267,1059
0.31,0.6357416986484231,0.35400340715502554,0.7835595776772247,0.48767894860361416,2771,1896,287,1039
0.32,0.6495911897213416,0.361587982832618,0.7624434389140271,0.49053857350800584,2882,1785,315,1011
0.33,0.6622726514266645,0.3695814648729447,0.7458521870286576,0.4942528735632184,2980,1687,337,989
0.34,0.6767895878524945,0.38071065989847713,0.7352941176470589,0.5016722408026756,3081,1586,351,975
0.35,0.6909728016018688,0.39247751430907607,0.7239819004524887,0.5090137857900318,3181,1486,366,960
0.36,0.7031536792925079,0.4033290653008963,0.7126696832579186,0.5151267375306623,3269,1398,381,945
0.37,0.7123310528950442,0.41147686832740216,0.6975867269984917,0.5176273083379966,3344,1323,401,925
0.38,0.722676455865176,0.4216417910447761,0.6817496229260935,0.5210374639769453,3427,1240,422,904
0.39,0.7335224428499917,0.4339990258158792,0.6719457013574661,0.5273749630068068,3505,1162,435,891
0.4,0.7433672618054397,0.4462474645030426,0.6636500754147813,0.5336567616737417,3575,1092,446,880
0.41,0.7510428833639246,0.4560846560846561,0.6500754147812972,0.5360696517412935,3639,1028,464,862
