limite,acuracia,precisao,recall,f1_score,verdadeiros_negativos,falsos_positivos,falsos_negativos,verdadeiros_positivos
0.1,0.24762222593025196,0.22668727460072127,0.995475113122172,0.3692824171212757,164,4503,6,1320
0.11,0.2559652928416486,0.22827406764960972,0.9924585218702866,0.3711747285291214,218,4449,10,1316
0.12,0.26430835975304523,0.229893113719993,0.9894419306184012,0.37309825110194794,272,4395,14,1312
0.13,0.27432004004672117,0.23195602057102324,0.9864253393665159,0.3755922469490309,336,4331,18,1308
0.14,0.28800266978141165,0.23499729681023607,0.9834087481146304,0.37934545454545454,422,4245,22,1304
0.15,0.30702486233939597,0.23935091277890466,0.9788838612368024,0.3846495777152171,542,4125,28,1298
0.16,0.3273819456032037,0.24408703878902555,0.9728506787330317,0.39025865980940855,672,3995,36,1290
0.17,0.3497413649257467,0.24995137132853532,0.969079939668175,0.397402195763105,811,3856,41,1285
0.18,0.3702653095277824,0.25539568345323743,0.9638009049773756,0.4037914691943128,941,3726,48,1278
0.19,0.3914566994827299,0.26116484873430745,0.9570135746606335,0.41034761519805985,1077,3590,57,1269
0.2,0.41398298014350077,0.26774330641733957,0.9502262443438914,0.4177718832891247,1221,3446,66,1260
0.21,0.4376772901718672,0.2744924977934687,0.9381598793363499,0.42471833390235575,1379,3288,82,1244
0.22,0.4617053228766895,0.28240952817224,0.9298642533936652,0.4332396345748419,1534,3133,93,1233
0.23,0.48590021691973967,0.2903225806451613,0.916289592760181,0.4409363091997823,1697,2970,111,1215
0.24,0.5112631403303854,0.2993742177722153,0.9019607843137255,0.4495395602330389,1868,2799,130,1196
0.25,0.5307859169030535,0.30681227249089965,0.889894419306184,0.4563031709203403,2001,2666,146,1180
0.26,0.5511430001668614,0.3144722524483134,0.8717948717948718,0.4622151139544182,2147,2520,170,1156
0.27,0.5715000834306692,0.3219610091743119,0.8469079939668175,0.4665558786871624,2302,2365,203,1123
0.28,0.5911897213415651,0.3312312312312312,0.8318250377073907,0.4737972508591065,2440,2227,223,1103
0.29,0.6058735191056233,0.33771929824561403,0.8129713423831071,0.4772023019034971,2553,2114,248,1078
0.3,0.6233939596195561,0.34672374053342114,0.7941176470588235,0.48269539307815723,2683,1984,273,1053
0.31,0.6412481228099449,0.3580289455547898,0.7835595776772247,0.4914853358561968,2804,1863,287,1039
0.32,0.658434840647422,0.3684786574242977,0.7616892911010558,0.4966805999508237,2936,1731,316,1010
0.33,0.6694476889704656,0.3751429660693862,0.7420814479638009,0.49835401367434795,3028,1639,342,984
0.34,0.6814617053228766,0.3835397522972433,0.7239819004524887,0.501436406372421,3124,1543,366,960
0.35,0.692975137660604,0.3929166666666667,0.7111613876319759,0.5061728395061729,3210,1457,383,943
0.36,0.7046554313365593,0.4039792387543253,0.7043740573152338,0.5134689389774602,3289,1378,392,934
0.37,0.7143333889537794,0.41314131413141314,0.6923076923076923,0.5174746335963923,3363,1304,408,918
0.38,0.722843317203404,0.42132456552372005,0.6764705882352942,0.5192474674384949,3435,1232,429,897
0.39,0.7298514934089771,0.4286410131514856,0.6636500754147813,0.520864160994377,3494,1173,446,880
0.4,0.7416986484231604,0.44313524590163933,0.6523378582202112,0.5277608297742525,3580,1087,461,865
0.41,0.7483731019522777,0.45144076840981856,0.6380090497737556,0.52875,3639,1028,480,846
0.42,0.7542132487902553,0.45905292479108634,0.6214177978883861,0.5280358859339955,3696,971,502,824
0.43,0.7625563157016519,0.4718514219384794,0.6131221719457014,0.5332896031485733,3757,910,513,813
0.44,0.7675621558484899,0.48002385211687537,0.6070889894419306,0.5361305361305362,3795,872,521,805
0.45,0.7729017186717837,0.4892572130141191,0.6010558069381599,0.5394247038917089,3835,832,529,797
0.46,0.7767395294510262,0.49616858237547895,0.5859728506787331,0.5373443983402489,3878,789,549,777
0.47,0.7794093108626731,0.5013175230566534,0.5739064856711915,0.5351617440225035,3910,757,565,761
0.48,0.7842482896712831,0.5111411208642809,0.5708898944193062,0.539365871036694,3943,724,569,757
0.49,0.791923911229768,0.5277973258268824,0.5656108597285068,0.5460502366217692,3996,671,576,750
0.5,0.794593692641415,0.5342465753424658,0.5588235294117647,0.5462587541467011,4021,646,585,741
0.51,0.7974303353912898,0.5414201183431953,0.5520361990950227,0.5466766243465273,4047,620,594,732
0.52,0.7989320874353413,0.54572940287226,0.5444947209653092,0.545111362778407,4066,601,604,722
0.53,0.8019355915234441,0.5541699142634451,0.5361990950226244,0.5450364124185512,4095,572,615,711
0.54,0.8041047889204072,0.5611916264090178,0.5256410256410257,0.5428348909657321,4122,545,629,697
0.55,0.8054396796262306,0.5661157024793388,0.5165912518853696,0.5402208201892744,4142,525,641,685
0.56,0.80710829300851,0.571912013536379,0.5098039215686274,0.5390749601275917,4161,506,650,676
0.57,0.8077757383614217,0.576048951048951,0.49698340874811464,0.5336032388663967,4182,485,667,659
0.58,0.8101117970966127,0.5849909584086799,0.4879336349924585,0.5320723684210527,4208,459,679,647
0.59,0.8122809944935758,0.5940130963517306,0.47888386123680243,0.5302713987473904,4233,434,691,635
0.6,0.8139496078758551,0.6023278370514064,0.4683257918552036,0.5269410267288926,4257,410,705,621
0.61,0.8139496078758551,0.6062437059415912,0.4539969834087481,0.5191893057352307,4276,391,724,602
0.62,0.8147839145669948,0.6122661122661123,0.44419306184012064,0.5148601398601399,4294,373,737,589
0.63,0.8147839145669948,0.6163793103448276,0.43137254901960786,0.5075421472937001,4311,356,754,572
0.64,0.8149507759052228,0.6198895027624309,0.4230769230769231,0.5029134917077543,4323,344,765,561
0.65,0.8149507759052228,0.623155505107832,0.41402714932126694,0.49750792931581334,4335,332,777,549
0.66,0.8161188052728183,0.6320754716981132,0.4042232277526395,0.49310027598896045,4355,312,790,536
0.67,0.8181211413315534,0.6460396039603961,0.3936651583710407,0.48922211808809746,4381,286,804,522
0.68,0.8196228933756049,0.6572528883183568,0.3861236802413273,0.4864608076009501,4400,267,814,512
0.69,0.8194560320373769,0.6653116531165312,0.3702865761689291,0.4757751937984496,4420,247,835,491
0.7,0.8194560320373769,0.6728045325779037,0.35822021116138764,0.4675196850393701,4436,231,851,475
0.71,0.8186217253462372,0.6749633967789166,0.3476621417797888,0.45893479342956695,4445,222,865,461
0.72,0.8186217253462372,0.6824427480916031,0.33710407239819007,0.4512872286723877,4459,208,879,447
0.73,0.8169531119639579,0.6843800322061192,0.32051282051282054,0.43656908063687727,4471,196,901,425
0.74,0.8159519439345904,0.6912521440823327,0.30392156862745096,0.42221058145625984,4487,180,923,403
0.75,0.8172868346404139,0.7066189624329159,0.29788838612368024,0.41909814323607425,4503,164,931,395
0.76,0.8166193892875021,0.7178502879078695,0.28205128205128205,0.40498105035192206,4520,147,952,374
0.77,0.8164525279492741,0.7306122448979592,0.26998491704374056,0.394273127753304,4535,132,968,358
0.78,0.8151176372434507,0.7390350877192983,0.25414781297134237,0.3782267115600449,4548,119,989,337
0.79,0.8134490238611713,0.7452830188679245,0.2383107088989442,0.36114285714285715,4559,108,1010,316
0.8,0.8126147171700318,0.7595907928388747,0.2239819004524887,0.3459522422830518,4573,94,1029,297
0.81,0.8112798264642083,0.7777777777777778,0.20588235294117646,0.32558139534883723,4589,78,1053,273
0.82,0.809277490405473,0.7942122186495176,0.18627450980392157,0.3017715332926084,4603,64,1079,247
0.83,0.8064408476555982,0.7922535211267606,0.16968325791855204,0.2795031055900621,4608,59,1101,225
0.84,0.8042716502586351,0.8047808764940239,0.15233785822021115,0.2561826252377933,4618,49,1124,202
0.85,0.8021024528616719,0.8125,0.13725490196078433,0.23483870967741935,4625,42,1144,182
0.86,0.7989320874353413,0.8201058201058201,0.11689291101055807,0.20462046204620463,4633,34,1171,155
0.87,0.7962623060236943,0.8220858895705522,0.10105580693815988,0.17998656816655473,4638,29,1192,134
0.88,0.7935925246120474,0.8156028368794326,0.08672699849170437,0.15678254942058623,4641,26,1211,115
0.89,0.7904221591857167,0.8181818181818182,0.06787330316742081,0.12534818941504178,4647,20,1236,90
0.9,0.7875855164358418,0.8441558441558441,0.049019607843137254,0.09265858873841767,4655,12,1261,65
