registros,taxa_inadimplencia_real,taxa_classificacao_alto_risco,precisao,recall,taxa_falso_positivo,taxa_falso_negativo,verdadeiros_negativos,falsos_positivos,falsos_negativos,verdadeiros_positivos,modelo,atributo,grupo
3661,0.20677410543567332,0.37967768369298005,0.38489208633093525,0.7067371202113606,0.2944214876033058,0.29326287978863935,2049,855,222,535,Modelo completo,Sexo,Feminino
2332,0.2439965694682676,0.44082332761578047,0.39105058365758755,0.7065026362038664,0.3550765740215542,0.29349736379613356,1137,626,167,402,Modelo completo,Sexo,Masculino
1044,0.26340996168582376,0.45689655172413796,0.43186582809224316,0.7490909090909091,0.35240572171651496,0.2509090909090909,498,271,69,206,Modelo completo,Escolaridade,Ensino médio
90,0.05555555555555555,0.2222222222222222,0.05,0.2,0.2235294117647059,0.8,66,19,4,1,Modelo completo,Escolaridade,Outros
2090,0.17942583732057416,0.33253588516746413,0.3410071942446043,0.632,0.26705539358600583,0.368,1257,458,138,237,Modelo completo,Escolaridade,Pós-graduação
2769,0.24232574936800289,0.4427591188154568,0.40212071778140296,0.7347242921013413,0.34938036224976166,0.26527570789865873,1365,733,178,493,Modelo completo,Escolaridade,Universidade
2756,0.24056603773584906,0.4248911465892598,0.4107600341588386,0.7254901960784313,0.32967032967032966,0.27450980392156865,1403,690,182,481,Modelo completo,Estado civil,Casado
65,0.23076923076923078,0.47692307692307695,0.3548387096774194,0.7333333333333333,0.4,0.26666666666666666,30,20,4,11,Modelo completo,Estado civil,Outros
3172,0.2042875157629256,0.3833543505674653,0.3659539473684211,0.6867283950617284,0.3054675118858954,0.3132716049382716,1753,771,203,445,Modelo completo,Estado civil,Solteiro
775,0.24387096774193548,0.4890322580645161,0.37467018469656993,0.7513227513227513,0.4044368600682594,0.24867724867724866,349,237,47,142,Modelo completo,Faixa de idade,18 a 25
2568,0.19665109034267914,0.3660436137071651,0.3617021276595745,0.6732673267326733,0.290838584585555,0.32673267326732675,1463,600,165,340,Modelo completo,Faixa de idade,26 a 35
1686,0.21708185053380782,0.38908659549228947,0.3826219512195122,0.6857923497267759,0.3068181818181818,0.31420765027322406,915,405,115,251,Modelo completo,Faixa de idade,36 a 45
795,0.2591194968553459,0.45157232704402517,0.43175487465181056,0.7524271844660194,0.3463497453310696,0.24757281553398058,385,204,51,155,Modelo completo,Faixa de idade,46 a 55
150,0.36666666666666664,0.5,0.6,0.8181818181818182,0.3157894736842105,0.18181818181818182,65,30,10,45,Modelo completo,Faixa de idade,56 a 65
19,0.2631578947368421,0.47368421052631576,0.4444444444444444,0.8,0.35714285714285715,0.2,9,5,1,4,Modelo completo,Faixa de idade,Acima de 65
3661,0.20677410543567332,0.38787216607484293,0.3823943661971831,0.7173051519154557,0.30199724517906334,0.28269484808454426,2027,877,214,543,Modelo sem variáveis demográficas,Sexo,Feminino
2332,0.2439965694682676,0.427958833619211,0.3847695390781563,0.6748681898066784,0.3482699943278503,0.3251318101933216,1149,614,185,384,Modelo sem variáveis demográficas,Sexo,Masculino
1044,0.26340996168582376,0.4511494252873563,0.4309978768577495,0.7381818181818182,0.34850455136540964,0.26181818181818184,501,268,72,203,Modelo sem variáveis demográficas,Escolaridade,Ensino médio
90,0.05555555555555555,0.34444444444444444,0.03225806451612903,0.2,0.35294117647058826,0.8,55,30,4,1,Modelo sem variáveis demográficas,Escolaridade,Outros
2090,0.17942583732057416,0.34832535885167465,0.32554945054945056,0.632,0.2862973760932945,0.368,1224,491,138,237,Modelo sem variáveis demográficas,Escolaridade,Pós-graduação
2769,0.24232574936800289,0.42903575297941493,0.4090909090909091,0.7242921013412816,0.334604385128694,0.2757078986587183,1396,702,185,486,Modelo sem variáveis demográficas,Escolaridade,Universidade
2756,0.24056603773584906,0.40892597968069666,0.4179236912156167,0.7104072398190046,0.31342570473005255,0.2895927601809955,1437,656,192,471,Modelo sem variáveis demográficas,Estado civil,Casado
65,0.23076923076923078,0.47692307692307695,0.2903225806451613,0.6,0.44,0.4,28,22,6,9,Modelo sem variáveis demográficas,Estado civil,Outros
3172,0.2042875157629256,0.39722572509457754,0.3547619047619048,0.6898148148148148,0.32210776545166403,0.3101851851851852,1711,813,201,447,Modelo sem variáveis demográficas,Estado civil,Solteiro
775,0.24387096774193548,0.5019354838709678,0.37017994858611825,0.7619047619047619,0.4180887372013652,0.23809523809523808,341,245,45,144,Modelo sem variáveis demográficas,Faixa de idade,18 a 25
2568,0.19665109034267914,0.3711059190031153,0.35362014690451204,0.6673267326732674,0.2985942801745031,0.3326732673267327,1447,616,168,337,Modelo sem variáveis demográficas,Faixa de idade,26 a 35
1686,0.21708185053380782,0.3790035587188612,0.3865414710485133,0.674863387978142,0.296969696969697,0.3251366120218579,928,392,119,247,Modelo sem variáveis demográficas,Faixa de idade,36 a 45
795,0.2591194968553459,0.45031446540880504,0.42178770949720673,0.7330097087378641,0.35144312393887944,0.2669902912621359,382,207,55,151,Modelo sem variáveis demográficas,Faixa de idade,46 a 55
150,0.36666666666666664,0.47333333333333333,0.6197183098591549,0.8,0.28421052631578947,0.2,68,27,11,44,Modelo sem variáveis demográficas,Faixa de idade,56 a 65
19,0.2631578947368421,0.42105263157894735,0.5,0.8,0.2857142857142857,0.2,10,4,1,4,Modelo sem variáveis demográficas,Faixa de idade,Acima de 65
